# bench_date,"2026-07-02_14-47-16"
# problem_dir,"casc/FOF"
# home,
# logs_dir,"bench/logs/casc_requested"
# time_limit_seconds,3
# robust_time_limit,false
# size_limit_gb,
# max_clauses,75000
# mode,"ordered-fallback"
# portfolio,"casc-150"
# casc,
# only_ip,true
# version_vip,"a76d405"

section,problem,expected_status,rating,vip,vip_time_s,vip_profile,vip_axiom_selection,vip_raw_clauses,vip_equality_literals,vip_equality_ratio,vip_avg_term,vip_unit_ratio,vip_negative_ratio
result,"FEQ/GEO532+1.p","Unknown","","Theorem",0.038708,"equality-heavy","false","327","251","0.228182","4.823636","0.082569","0.530909"
result,"FEQ/GEO559+1.p","Unknown","","Timeout",2.959393,"equality-light","false","120","4","0.011834","6.065089","0.058333","0.615385"
result,"FEQ/GEO593+1.p","Unknown","","Timeout",2.959721,"equality-light","false","127","4","0.011594","6.026087","0.110236","0.602899"
result,"FEQ/GEO605+1.p","Unknown","","Timeout",2.959624,"equality-light","false","128","4","0.011561","6.063584","0.117188","0.601156"
result,"FEQ/GEO610+1.p","Unknown","","Timeout",2.960099,"equality-light","false","151","4","0.008048","7.012072","0.039735","0.738431"
result,"FEQ/GEO625+1.p","Unknown","","Timeout",2.959312,"equality-light","false","123","4","0.011730","6.093842","0.081301","0.609971"
result,"FEQ/GEO641+1.p","Unknown","","Timeout",2.960347,"equality-light","false","122","4","0.011765","6.064706","0.073770","0.611765"
result,"FEQ/GRA002+2.p","Unknown","","Theorem",1.509386,"equality-heavy","false","69","56","0.238298","4.302128","0.057971","0.642553"
result,"FEQ/GRA007+2.p","Unknown","","Theorem",1.510358,"equality-heavy","false","68","58","0.251082","4.264069","0.058824","0.645022"
result,"FEQ/GRA009+1.p","Unknown","","Theorem",1.530976,"equality-heavy","false","69","54","0.238938","4.256637","0.101449","0.628319"
result,"FEQ/GRP622+2.p","Unknown","","Timeout",3.016501,"equality-heavy","false","50363","180900","0.310533","5.382285","0.015686","0.499311"
result,"FEQ/GRP664+1.p","Unknown","","GaveUp",1.024514,"equality-heavy","false","10","12","1.000000","9.833333","0.900000","0.250000"
result,"FEQ/GRP666+6.p","Unknown","","Timeout",3.028766,"equality-heavy","false","15","15","1.000000","13.000000","1.000000","0.266667"
