dune exec -- bench/run_bench.exe --onlyip --dir /home/etudiant/Cours/stage/TPTP-v9.2.1/Problems/SYN/ --time-limit 3 --robust-time-limit  --logs bench_logs_syn_final  --mode ordered-fallback
problem                                                      | expected           | rating       | ip                    
SYN100-1.005.p                                               | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.207s)
SYN101-1.002.002.p                                           | Unsatisfiable      | 0.00 v2.1.0  | Unsatisfiable (0.014s)
SYN102-1.007.007.p                                           | Unsatisfiable      | 0.00 v2.3.0  | Timeout (3.010s)      
SYN103-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.021s)
SYN104-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.018s)
SYN105-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.021s)
SYN106-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.020s)
SYN107-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.582s)
SYN108-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.609s)
SYN109-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN110-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN111-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN112-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.171s)
SYN113-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN114-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.332s)
SYN115-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN116-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN116-10.p                                                  | Unsatisfiable      | 0.09 v9.1.0  | Error (0.048s)        
SYN117-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN118-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.015s)
SYN119-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.015s)
SYN120-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.030s)
SYN121-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.012s)      
SYN122-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN123-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN124-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (1.612s)
SYN125-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN126-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.979s)
SYN127-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.960s)
SYN128-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN129-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.016s)      
SYN130-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.023s)
SYN131-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.020s)
SYN132-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.019s)
SYN133-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.019s)
SYN134-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.734s)
SYN135-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.443s)
SYN136-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.483s)
SYN137-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN138-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN139-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.016s)      
SYN140-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN141-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN142-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN143-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN143-10.p                                                  | Unsatisfiable      | 0.13 v9.1.0  | Error (0.043s)        
SYN144-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN145-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.019s)
SYN146-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.070s)
SYN147-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.085s)
SYN148-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.018s)      
SYN149-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.090s)
SYN150-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.179s)
SYN151-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.176s)
SYN152-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.176s)
SYN153-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.493s)
SYN154-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.535s)
SYN155-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.016s)      
SYN156-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.017s)      
SYN157-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN158-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN159-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN160-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN161-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN162-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN163-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN164-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.016s)
SYN165-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.141s)
SYN166-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.017s)      
SYN167-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.168s)
SYN168-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.929s)
SYN169-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.917s)
SYN170-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (2.869s)
SYN170-10.p                                                  | Unsatisfiable      | 0.09 v8.2.0  | Error (0.050s)        
SYN171-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN172-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.017s)
SYN173-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN174-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN175-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (1.192s)
SYN176-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN177-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN178-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN179-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN180-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN181-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN182-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.926s)
SYN183-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.937s)
SYN184-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.016s)
SYN185-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Unsatisfiable (0.013s)
SYN186-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.013s)      
SYN187-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.015s)      
SYN188-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.016s)      
SYN189-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
SYN190-1.p                                                   | Unsatisfiable      | 0.00 v7.3.0  | Timeout (3.014s)      
